Common garden,Prov,Bloc,MATp,MAPp,GDD5p,Latitude,Longitude,sf1,sf2,sf3,sf4,sf5,Geno_EST.pb,Geno_OUEST.pb,Geno_CENTRE.pb
Mont-Laurier,6930,4,2.48659,698.2746733,1645.4495,48.8,-93.66666667,0.226846283,-0.105373474,-0.088180019,0.124840274,0.184290024,0.243,0.011166667,0.745666667
Mont-Laurier,6930,6,2.48659,698.2746733,1645.4495,48.8,-93.66666667,0.226846283,-0.105373474,-0.088180019,0.124840274,0.184290024,0.079166667,0.044833333,0.8755
Mont-Laurier,6938,3,0.244396667,869.8028633,1269.3425,49.35,-80.75,0.070915123,0.213918953,0.171025983,-0.146168368,-0.145358976,0.158333333,0.015333333,0.826166667
Mont-Laurier,6938,4,0.244396667,869.8028633,1269.3425,49.35,-80.75,0.070915123,0.213918953,0.171025983,-0.146168368,-0.145358976,0.5665,0.052166667,0.3815
Mont-Laurier,6938,6,0.244396667,869.8028633,1269.3425,49.35,-80.75,0.070915123,0.213918953,0.171025983,-0.146168368,-0.145358976,0.117166667,0.008666667,0.874166667
Mont-Laurier,6965,3,-2.413336667,496.87143,1026.486493,52.48333333,-101.4333333,0.174335964,-0.188772026,-0.316390791,-0.275294927,-0.079395628,0.1364,0.5018,0.3618
Mont-Laurier,6965,4,-2.413336667,496.87143,1026.486493,52.48333333,-101.4333333,0.174335964,-0.188772026,-0.316390791,-0.275294927,-0.079395628,0.134166667,0.545333333,0.320333333
Mont-Laurier,6965,6,-2.413336667,496.87143,1026.486493,52.48333333,-101.4333333,0.174335964,-0.188772026,-0.316390791,-0.275294927,-0.079395628,0.117833333,0.336333333,0.545666667
Mont-Laurier,6968,3,-0.98192,470.9315567,1309.530163,54.58333333,-101,0.168296112,-0.184804679,-0.313192046,-0.288152728,-0.088842645,0.0375,0.54625,0.41575
Mont-Laurier,6968,4,-0.98192,470.9315567,1309.530163,54.58333333,-101,0.168296112,-0.184804679,-0.313192046,-0.288152728,-0.088842645,0.208666667,0.544,0.247
Mont-Laurier,6968,6,-0.98192,470.9315567,1309.530163,54.58333333,-101,0.168296112,-0.184804679,-0.313192046,-0.288152728,-0.088842645,0.109166667,0.443833333,0.446833333
Mont-Laurier,6973,3,2.66833,546.2635133,1733.3305,49.28333333,-96.3,0.213945362,-0.143629327,-0.182605714,0.003009406,0.152321871,0.153166667,0.0335,0.8135
Mont-Laurier,6973,4,2.66833,546.2635133,1733.3305,49.28333333,-96.3,0.213945362,-0.143629327,-0.182605714,0.003009406,0.152321871,0.027333333,0.017,0.9555
Mont-Laurier,6973,6,2.66833,546.2635133,1733.3305,49.28333333,-96.3,0.213945362,-0.143629327,-0.182605714,0.003009406,0.152321871,0.083,0.052,0.864833333
Mont-Laurier,6979,3,2.29959,658.8461233,1143.464173,52.36666667,-115.25,0.094695445,-0.177189291,-0.231677681,-0.409280641,-0.412751616,0.016333333,0.942,0.042
Mont-Laurier,6979,4,2.29959,658.8461233,1143.464173,52.36666667,-115.25,0.094695445,-0.177189291,-0.231677681,-0.409280641,-0.412751616,0.010333333,0.967,0.022666667
Mont-Laurier,6979,6,2.29959,658.8461233,1143.464173,52.36666667,-115.25,0.094695445,-0.177189291,-0.231677681,-0.409280641,-0.412751616,0.163,0.799833333,0.036833333
Chibougamau,321,3,2.672246667,1214.817,1456.48289,46.93333333,-72.1,-0.110299432,0.13944572,-0.117017369,0.099227929,-0.035744722,0.768904762,0.01031746,0.220801587
Chibougamau,321,4,2.672246667,1214.817,1456.48289,46.93333333,-72.1,-0.110299432,0.13944572,-0.117017369,0.099227929,-0.035744722,0.768904762,0.01031746,0.220801587
Chibougamau,321,5,2.672246667,1214.817,1456.48289,46.93333333,-72.1,-0.110299432,0.13944572,-0.117017369,0.099227929,-0.035744722,0.768904762,0.01031746,0.220801587
Chibougamau,325,3,-1.135693333,945.48113,1079.10529,50.45,-73.63333333,-0.080102888,0.161820871,-0.137865161,0.020052831,-0.138291136,0.281813492,0.014424603,0.703718254
Chibougamau,325,4,-1.135693333,945.48113,1079.10529,50.45,-73.63333333,-0.080102888,0.161820871,-0.137865161,0.020052831,-0.138291136,0.281813492,0.014424603,0.703718254
Chibougamau,325,5,-1.135693333,945.48113,1079.10529,50.45,-73.63333333,-0.080102888,0.161820871,-0.137865161,0.020052831,-0.138291136,0.281813492,0.014424603,0.703718254
