Common garden,Prov,xVar,Value,Std.Error,DF,tvalue,p-value,var
Chibougamau,Prov6967,s(Year):as.factor(Bloc)5Fx1,0.602459096,0.237730953,96,2.534205528,0.012888228,Xs(Year):as.factor(Bloc)5Fx1
Chibougamau,Prov6970,(Intercept),0.091905752,0.178712793,96,0.514265098,0.608248503,X(Intercept)
Chibougamau,Prov6970,prevSummerTemp,-0.001370285,0.00149708,96,-0.915305096,0.362324898,XprevSummerTemp
Chibougamau,Prov6970,prevFallTemp,-0.000719368,0.000965326,96,-0.745206826,0.457967301,XprevFallTemp
Chibougamau,Prov6970,WinterTemp,0.001023965,0.000634556,96,1.613671479,0.109881145,XWinterTemp
Chibougamau,Prov6970,SpringTemp,0.000509707,0.000748065,96,0.681367386,0.497279454,XSpringTemp
Chibougamau,Prov6970,SummerTemp,0.001607582,0.001446369,96,1.111460106,0.269146196,XSummerTemp
Chibougamau,Prov6970,FallTemp,-0.000625798,0.001013459,96,-0.617487237,0.538375352,XFallTemp
Chibougamau,Prov6970,prevSummerSMI,-0.001604217,0.000441053,96,-3.637240186,0.000445686,XprevSummerSMI
Chibougamau,Prov6970,prevFallSMI,-0.000167929,0.001278999,96,-0.13129713,0.895815029,XprevFallSMI
Chibougamau,Prov6970,Snowfall,-6.54E-06,2.25E-05,96,-0.29078455,0.771843381,XSnowfall
Chibougamau,Prov6970,SpringSMI,3.66E-05,0.000376937,96,0.097153868,0.922806748,XSpringSMI
Chibougamau,Prov6970,SummerSMI,-0.000512271,0.000514587,96,-0.995500329,0.32199562,XSummerSMI
Chibougamau,Prov6970,FallSMI,0.001007061,0.001106571,96,0.910073322,0.36506318,XFallSMI
Chibougamau,Prov6970,totalC:as.factor(Bloc)3,0.095368416,0.039251229,96,2.429692496,0.016970751,XtotalC:as.factor(Bloc)3
Chibougamau,Prov6970,totalC:as.factor(Bloc)4,0.08712066,0.028554239,96,3.05105871,0.002948554,XtotalC:as.factor(Bloc)4
Chibougamau,Prov6970,totalC:as.factor(Bloc)5,0.122049333,0.063070221,96,1.935134079,0.055916918,XtotalC:as.factor(Bloc)5
